City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Longyearbyen,SJ,2022-08-02 05:11:36,78.2186,15.6401,49.84,87,75,5.75
1,Awbari,LY,2022-08-02 05:11:37,26.5921,12.7805,80.73,23,0,4.0
2,Great Yarmouth,GB,2022-08-02 05:11:37,52.6083,1.7305,68.25,63,100,12.57
3,Port Alfred,ZA,2022-08-02 05:11:38,-33.5906,26.891,55.17,60,48,7.27
4,Cape Town,ZA,2022-08-02 05:09:04,-33.9258,18.4232,53.38,77,0,8.01
5,Butaritari,KI,2022-08-02 05:11:38,3.0707,172.7902,82.09,73,89,19.98
6,Qaanaaq,GL,2022-08-02 05:11:39,77.484,-69.3632,42.26,65,38,5.97
7,Tiksi,RU,2022-08-02 05:11:39,71.6872,128.8694,44.2,83,98,6.4
8,Labuhan,ID,2022-08-02 05:11:39,-6.8844,112.2051,87.4,61,79,10.69
9,Tuktoyaktuk,CA,2022-08-02 05:11:40,69.4541,-133.0374,47.52,81,100,12.68
10,Teya,RU,2022-08-02 05:11:40,60.3778,92.6267,53.24,87,100,3.96
11,Punta Arenas,CL,2022-08-02 05:11:41,-53.15,-70.9167,46.11,65,75,12.66
12,Emmett,US,2022-08-02 05:11:41,43.8735,-116.4993,91.29,27,100,16.33
13,Rikitea,PF,2022-08-02 05:11:42,-23.1203,-134.9692,73.27,74,24,24.7
14,Berdigestyakh,RU,2022-08-02 05:11:42,62.0989,126.6992,68.76,83,100,4.41
15,College,US,2022-08-02 05:11:43,64.8569,-147.8028,61.29,88,75,5.75
16,Yingkou,CN,2022-08-02 05:11:43,40.6648,122.2283,85.15,75,20,7.7
17,Naron,ES,2022-08-02 05:11:44,43.5167,-8.1528,65.25,94,12,6.96
18,Mataura,NZ,2022-08-02 05:11:44,-46.1927,168.8643,44.47,75,10,11.43
19,Aitape,PG,2022-08-02 05:11:44,-3.1374,142.3475,84.13,77,95,8.5
20,Tuatapere,NZ,2022-08-02 05:11:45,-46.1333,167.6833,49.73,89,61,9.75
21,Hermanus,ZA,2022-08-02 05:11:45,-34.4187,19.2345,42.8,64,0,7.65
22,Vaini,TO,2022-08-02 05:11:46,-21.2,-175.2,77.16,100,75,8.05
23,Tautira,PF,2022-08-02 05:11:46,-17.7333,-149.15,76.3,76,15,24.54
24,Kayerkan,RU,2022-08-02 05:11:46,69.3497,87.7602,50.52,76,27,18.21
25,Howell,US,2022-08-02 05:11:47,42.6073,-83.9294,71.78,88,75,3.44
26,Avarua,CK,2022-08-02 05:11:47,-21.2078,-159.775,75.25,60,100,6.91
27,Sao Filipe,CV,2022-08-02 05:11:48,14.8961,-24.4956,75.56,86,61,6.69
28,Hobart,AU,2022-08-02 05:10:38,-42.8794,147.3294,57.06,55,75,11.5
29,Escarcega,MX,2022-08-02 05:11:48,18.6089,-90.7454,74.48,89,98,4.56
30,Chokurdakh,RU,2022-08-02 05:11:49,70.6333,147.9167,57.56,63,92,4.94
31,Adrar,MR,2022-08-02 05:11:49,20.5022,-10.0711,84.43,45,45,16.42
32,Yar-Sale,RU,2022-08-02 05:11:50,66.8333,70.8333,64.78,53,26,3.98
33,Upernavik,GL,2022-08-02 05:11:50,72.7868,-56.1549,45.05,75,100,6.96
34,Lebu,CL,2022-08-02 05:11:51,-37.6167,-73.65,45.1,85,4,12.17
35,Saint-Joseph,RE,2022-08-02 05:11:51,-21.3667,55.6167,71.98,65,0,3.6
36,Barcelona,ES,2022-08-02 05:07:40,41.3888,2.159,82.33,68,20,8.05
37,Norman Wells,CA,2022-08-02 05:11:52,65.282,-126.8329,62.64,56,93,8.43
38,Ribeira Grande,PT,2022-08-02 05:11:53,38.5167,-28.7,73.96,74,3,11.65
39,Puerto Ayora,EC,2022-08-02 05:11:53,-0.7393,-90.3518,69.55,95,72,8.01
40,De-Kastri,RU,2022-08-02 05:11:54,51.4667,140.7833,58.5,97,100,11.18
41,Bida,NG,2022-08-02 05:11:54,9.0833,6.0167,71.94,96,100,2.84
42,Noyabrsk,RU,2022-08-02 05:11:54,63.1994,75.4507,61.75,49,14,16.22
43,Arraial Do Cabo,BR,2022-08-02 05:11:55,-22.9661,-42.0278,70.05,90,7,18.99
44,Katsuura,JP,2022-08-02 05:11:55,35.1333,140.3,87.22,73,100,15.52
45,Ushuaia,AR,2022-08-02 05:09:40,-54.8,-68.3,46.06,61,20,8.05
46,Oga,IT,2022-08-02 05:12:56,46.4631,10.347,53.8,83,95,3.44
47,Provideniya,RU,2022-08-02 05:12:57,64.3833,-173.3,46.51,93,75,8.95
48,Atuona,PF,2022-08-02 05:12:57,-9.8,-139.0333,77.45,73,15,16.06
49,Ossora,RU,2022-08-02 05:12:58,59.2353,163.0719,61.14,74,48,8.3
50,Kamenka,RU,2022-08-02 05:12:58,51.3223,42.7678,73.13,59,31,11.88
51,Lasa,IT,2022-08-02 05:12:59,46.6166,10.7002,58.37,82,97,2.77
52,Albany,US,2022-08-02 05:12:59,42.6001,-73.9662,72.01,81,37,3.98
53,Kapaa,US,2022-08-02 05:13:00,22.0752,-159.319,84.18,76,40,23.02
54,Jamestown,US,2022-08-02 05:12:06,42.097,-79.2353,70.02,75,75,11.5
55,Barrow,US,2022-08-02 05:13:00,71.2906,-156.7887,41.02,87,100,12.66
56,Wiwili,NI,2022-08-02 05:13:01,13.6268,-85.8254,70.9,98,90,4.41
57,Khatanga,RU,2022-08-02 05:13:01,71.9667,102.5,49.98,63,100,9.44
58,Alice Town,BS,2022-08-02 05:13:02,25.7167,-79.3,83.53,74,59,13.56
59,Ancud,CL,2022-08-02 05:13:02,-41.8697,-73.8203,42.22,86,11,3.74
60,Houma,US,2022-08-02 05:13:03,29.5958,-90.7195,77.0,95,0,1.01
61,Brae,GB,2022-08-02 05:13:03,60.3964,-1.353,55.13,97,100,16.84
62,Ponta Do Sol,PT,2022-08-02 05:13:03,32.6667,-17.1,70.0,76,6,6.58
63,Thompson,CA,2022-08-02 05:13:04,55.7435,-97.8558,53.08,57,96,2.62
64,Bambous Virieux,MU,2022-08-02 05:09:09,-20.3428,57.7575,73.22,78,75,2.3
65,Margate,GB,2022-08-02 05:13:05,51.3813,1.3862,64.31,91,100,4.0
66,Torbay,CA,2022-08-02 05:13:05,47.6666,-52.7314,63.88,83,100,6.8
67,Vao,NC,2022-08-02 05:13:05,-22.6667,167.4833,72.63,85,72,15.57
68,Cidreira,BR,2022-08-02 05:13:06,-30.1811,-50.2056,56.05,88,70,2.17
69,Saint-Philippe,RE,2022-08-02 05:13:06,-21.3585,55.7679,72.99,72,0,4.14
70,Kaitangata,NZ,2022-08-02 05:13:07,-46.2817,169.8464,53.73,59,13,11.34
71,Faanui,PF,2022-08-02 05:13:07,-16.4833,-151.75,78.08,73,2,22.37
72,Katangli,RU,2022-08-02 05:13:08,51.7102,143.2326,55.92,96,100,7.63
73,Egvekinot,RU,2022-08-02 05:13:08,66.3167,-179.1667,55.53,53,9,5.79
74,Mar Del Plata,AR,2022-08-02 05:13:08,-38.0023,-57.5575,49.87,78,0,7.0
75,Saint George,US,2022-08-02 05:13:09,37.1041,-113.5841,89.64,41,0,1.01
76,San Patricio,US,2022-08-02 05:13:09,28.017,-97.5169,84.88,75,1,15.26
77,Matara,LK,2022-08-02 05:13:10,5.9485,80.5353,80.69,81,88,18.01
78,De Aar,ZA,2022-08-02 05:13:10,-30.6497,24.0123,49.1,57,45,6.69
79,Baruun-Urt,MN,2022-08-02 05:13:10,46.6806,113.2792,84.54,38,7,1.81
80,Klaksvik,FO,2022-08-02 05:13:11,62.2266,-6.589,50.92,94,100,11.07
81,Batagay,RU,2022-08-02 05:13:11,67.6333,134.6333,54.43,90,100,6.78
82,Ixtapa,MX,2022-08-02 05:12:58,20.7,-105.2,78.22,83,100,11.5
83,Georgetown,MY,2022-08-02 05:11:36,5.4112,100.3354,85.95,74,20,9.22
84,Hilo,US,2022-08-02 05:13:12,19.7297,-155.09,75.27,84,40,3.44
85,Fortuna,US,2022-08-02 05:13:13,40.5982,-124.1573,61.66,86,0,0.0
86,Kibre Mengist,ET,2022-08-02 05:13:13,5.8833,38.9833,57.06,98,100,2.39
87,New Norfolk,AU,2022-08-02 05:13:14,-42.7826,147.0587,56.7,68,55,3.0
88,Bireun,ID,2022-08-02 05:13:14,5.203,96.7009,84.18,63,100,2.77
89,San Cristobal,VE,2022-08-02 05:10:52,7.7669,-72.225,69.98,94,100,3.49
90,Safaga,EG,2022-08-02 05:13:15,26.7292,33.9365,90.09,40,11,12.59
91,Mackay,AU,2022-08-02 05:14:15,-21.15,149.2,76.68,83,98,10.6
92,East London,ZA,2022-08-02 05:10:04,-33.0153,27.9116,55.31,56,28,6.55
93,Airai,TL,2022-08-02 05:11:02,-8.9266,125.4092,76.05,39,69,3.96
94,Namibe,AO,2022-08-02 05:14:16,-15.1961,12.1522,54.37,70,84,6.08
95,Peniche,PT,2022-08-02 05:14:16,39.3558,-9.3811,67.28,96,1,5.37
96,Port Shepstone,ZA,2022-08-02 05:14:17,-30.7414,30.455,56.89,79,55,7.52
97,Castro,BR,2022-08-02 05:14:17,-24.7911,-50.0119,55.9,78,57,1.5
98,Yellowknife,CA,2022-08-02 05:14:18,62.456,-114.3525,64.56,39,48,5.01
99,Ahipara,NZ,2022-08-02 05:14:18,-35.1667,173.1667,56.8,74,99,6.46
100,Fairbanks,US,2022-08-02 05:14:19,64.8378,-147.7164,61.3,90,75,5.75
101,Bairiki,KI,2022-08-02 05:14:19,1.3292,172.9752,84.2,70,20,16.11
102,Kangaatsiaq,GL,2022-08-02 05:14:19,68.3065,-53.4641,42.64,90,100,11.23
103,Tutoia,BR,2022-08-02 05:14:20,-2.7619,-42.2744,77.7,83,9,12.26
104,Moerai,PF,2022-08-02 05:14:20,-22.4333,-151.3333,72.95,65,51,13.8
105,Frankfort,ZA,2022-08-02 05:11:59,-27.2667,28.4833,43.5,97,63,5.41
106,Geraldton,AU,2022-08-02 05:14:21,-28.7667,114.6,64.81,59,75,25.32
107,Iquique,CL,2022-08-02 05:12:10,-20.2208,-70.1431,59.04,81,44,1.28
108,Preeceville,CA,2022-08-02 05:14:22,51.95,-102.6677,55.09,77,13,7.07
109,Port Elizabeth,ZA,2022-08-02 05:14:22,-33.918,25.5701,53.6,57,87,6.11
110,Pevek,RU,2022-08-02 05:14:22,69.7008,170.3133,50.54,61,100,14.32
111,Souillac,MU,2022-08-02 05:14:23,-20.5167,57.5167,71.98,78,75,2.3
112,Manoharpur,IN,2022-08-02 05:14:23,27.3,75.95,86.9,65,27,8.37
113,Sambava,MG,2022-08-02 05:14:24,-14.2667,50.1667,71.26,77,28,12.1
114,Alugan,PH,2022-08-02 05:14:24,12.2188,125.4808,85.06,67,99,5.97
115,Victoria,HK,2022-08-02 05:12:05,22.2855,114.1577,95.05,72,72,5.01
116,Lagoa,PT,2022-08-02 05:14:25,39.05,-27.9833,73.35,74,52,13.33
117,Bredasdorp,ZA,2022-08-02 05:14:25,-34.5322,20.0403,43.88,85,0,2.95
118,Acarau,BR,2022-08-02 05:14:26,-2.8856,-40.12,77.95,81,47,16.26
119,Zalesovo,RU,2022-08-02 05:14:26,53.9939,84.7431,59.7,88,98,7.31
120,Kruisfontein,ZA,2022-08-02 05:14:27,-34.0033,24.7314,50.0,46,88,5.91
121,Bluff,NZ,2022-08-02 05:14:27,-46.6,168.3333,44.8,79,41,22.35
122,Vila Franca Do Campo,PT,2022-08-02 05:14:27,37.7167,-25.4333,66.61,86,17,2.39
123,Sibu,MY,2022-08-02 05:14:28,2.3,111.8167,85.8,65,100,2.15
124,Aklavik,CA,2022-08-02 05:14:28,68.2191,-135.0107,61.59,59,100,9.35
125,Aykhal,RU,2022-08-02 05:14:29,66.0,111.5,47.3,88,100,17.18
126,Mana,GF,2022-08-02 05:14:29,5.6592,-53.7767,75.76,90,75,6.6
127,Statesboro,US,2022-08-02 05:14:29,32.4488,-81.7832,81.48,83,0,0.0
128,Talaya,RU,2022-08-02 05:14:30,61.3833,152.75,70.72,52,57,10.83
129,Juneau,US,2022-08-02 05:14:30,58.3019,-134.4197,58.84,98,100,8.05
130,Yumen,CN,2022-08-02 05:14:31,40.2833,97.2,79.2,40,79,15.46
131,Luderitz,NA,2022-08-02 05:14:31,-26.6481,15.1594,51.48,83,13,1.68
132,Vyartsilya,RU,2022-08-02 05:14:32,62.1764,30.693,55.69,98,100,6.42
133,Ola,RU,2022-08-02 05:14:32,59.5833,151.2833,62.15,84,60,17.29
134,Awjilah,LY,2022-08-02 05:14:33,29.1081,21.2869,78.04,65,0,10.25
135,Torrington,US,2022-08-02 05:14:33,41.8007,-73.1212,68.61,96,0,4.0
136,Busselton,AU,2022-08-02 05:14:33,-33.65,115.3333,54.46,73,96,24.99
137,Bakchar,RU,2022-08-02 05:15:34,57.0186,82.0711,65.79,46,2,7.63
138,Henties Bay,NA,2022-08-02 05:15:34,-22.116,14.2845,51.28,74,0,5.48
139,Vardo,NO,2022-08-02 05:15:35,70.3705,31.1107,53.58,94,40,2.3
140,Salalah,OM,2022-08-02 05:15:35,17.0151,54.0924,75.29,100,100,3.44
141,Kholmy,UA,2022-08-02 05:15:35,51.871,32.6006,65.84,64,99,6.91
142,Ostrovnoy,RU,2022-08-02 05:15:36,68.0531,39.5131,55.51,91,100,14.34
143,Kodiak,US,2022-08-02 05:15:36,57.79,-152.4072,62.11,51,0,11.5
144,Gardiner,US,2022-08-02 05:15:37,44.2301,-69.7753,68.95,93,75,6.91
145,Mahebourg,MU,2022-08-02 05:15:38,-20.4081,57.7,73.26,78,75,2.3
146,Lampazos De Naranjo,MX,2022-08-02 05:15:38,27.0167,-100.5167,84.15,53,0,14.74
147,Chitungwiza,ZW,2022-08-02 05:15:39,-18.0127,31.0756,46.13,68,0,6.98
148,Vila Velha,BR,2022-08-02 05:15:39,-20.3297,-40.2925,71.55,89,75,4.61
149,Saint-Pierre,RE,2022-08-02 05:13:11,-21.3393,55.4781,74.91,52,0,4.61
150,Boda,CF,2022-08-02 05:15:40,4.3189,17.4695,70.09,91,100,3.47
151,Gladstone,AU,2022-08-02 05:13:09,-23.85,151.25,74.79,53,75,5.75
152,Liku,ID,2022-08-02 05:15:40,-0.7275,119.8922,83.75,76,85,1.86
153,Chuy,UY,2022-08-02 05:15:41,-33.6971,-53.4616,51.71,94,46,2.89
154,Hamilton,US,2022-08-02 05:15:41,39.1834,-84.5333,78.24,91,0,9.22
155,Porto Nacional,BR,2022-08-02 05:15:41,-10.7081,-48.4172,71.6,41,10,1.36
156,Taylor,US,2022-08-02 05:15:42,32.3001,-99.8337,89.06,39,0,12.66
157,Hithadhoo,MV,2022-08-02 05:15:42,-0.6,73.0833,80.89,72,65,13.49
158,Kon Tum,VN,2022-08-02 05:15:43,14.35,108.0,84.97,64,77,2.64
159,Castro Verde,PT,2022-08-02 05:15:43,37.6983,-8.0858,60.22,48,0,1.39
160,Dikson,RU,2022-08-02 05:15:43,73.5069,80.5464,41.59,87,100,5.44
161,Narsaq,GL,2022-08-02 05:15:44,60.9167,-46.05,46.62,73,100,1.43
162,Amga,RU,2022-08-02 05:15:44,60.8953,131.9608,72.88,84,89,6.02
163,Dumai,ID,2022-08-02 05:15:45,1.6833,101.45,82.54,85,100,3.44
164,Petropavlovsk-Kamchatskiy,RU,2022-08-02 05:15:45,53.0452,158.6483,66.79,64,75,11.18
165,Baykit,RU,2022-08-02 05:15:46,61.67,96.37,69.62,43,18,2.82
166,Meulaboh,ID,2022-08-02 05:15:46,4.1363,96.1285,78.82,88,100,11.92
167,Tasiilaq,GL,2022-08-02 05:15:46,65.6145,-37.6368,42.96,67,3,4.41
168,Kahului,US,2022-08-02 05:15:47,20.8947,-156.47,78.82,70,40,13.8
169,Salinopolis,BR,2022-08-02 05:11:37,-0.6136,-47.3561,78.28,87,97,8.97
170,Port Moresby,PG,2022-08-02 05:15:47,-9.4431,147.1797,87.22,66,40,17.27
171,Jackson,US,2022-08-02 05:15:48,42.4165,-122.8345,81.55,69,75,0.0
172,Flinders,AU,2022-08-02 05:15:49,-34.5833,150.8552,70.18,50,0,4.0
173,Tortoli,IT,2022-08-02 05:15:49,39.9256,9.6572,76.82,44,0,10.36
174,Porto Novo,BJ,2022-08-02 05:15:50,6.4965,2.6036,73.44,81,100,6.26
175,Nizwa,OM,2022-08-02 05:15:50,22.9333,57.5333,91.44,47,11,1.92
176,Yinchuan,CN,2022-08-02 05:15:50,38.4681,106.2731,90.99,32,100,8.5
177,Harboore,DK,2022-08-02 05:15:51,56.6175,8.1807,53.19,72,100,14.14
178,Nikolskoye,RU,2022-08-02 05:15:51,59.7035,30.7861,66.87,96,100,8.84
179,Urumqi,CN,2022-08-02 05:15:52,43.801,87.6005,85.15,33,0,8.95
180,Lautaro,CL,2022-08-02 05:15:52,-38.5167,-72.45,30.18,95,0,2.33
181,Kalianget,ID,2022-08-02 05:16:53,-7.05,113.9333,84.0,72,89,13.38
182,Cadiz,ES,2022-08-02 05:16:53,36.5,-5.75,76.14,82,0,6.02
183,Ofaqim,IL,2022-08-02 05:16:53,31.3141,34.6203,78.71,80,19,5.12
184,Goundam,ML,2022-08-02 05:16:54,16.4145,-3.6708,81.99,57,72,13.8
185,Westport,US,2022-08-02 05:13:39,41.1415,-73.3579,72.07,94,20,5.75
186,Grindavik,IS,2022-08-02 05:16:54,63.8424,-22.4338,46.87,76,75,17.27
187,Mayo,US,2022-08-02 05:16:55,38.8876,-76.5119,77.99,88,21,3.0
188,Coahuayana,MX,2022-08-02 05:16:55,18.7333,-103.6833,79.86,87,80,1.34
189,Port-Gentil,GA,2022-08-02 05:16:56,-0.7193,8.7815,71.56,88,40,4.61
190,Dengfeng,CN,2022-08-02 05:16:56,34.4553,113.0281,90.57,48,12,7.85
191,Digha,IN,2022-08-02 05:16:56,21.6833,87.55,90.61,60,100,8.23
192,Hihya,EG,2022-08-02 05:16:57,30.6713,31.588,78.71,67,0,5.66
193,Comodoro Rivadavia,AR,2022-08-02 05:12:42,-45.8667,-67.5,42.66,52,0,5.75
194,Nador,MA,2022-08-02 05:16:58,35.174,-2.9287,79.05,83,40,4.61
195,Sabang,ID,2022-08-02 05:16:58,5.8933,95.3214,79.43,84,100,26.69
196,Clarence Town,AU,2022-08-02 05:16:58,-32.5833,151.7833,68.61,45,0,4.27
197,Kavieng,PG,2022-08-02 05:16:59,-2.5744,150.7967,83.07,76,99,16.02
198,Bluefield,US,2022-08-02 05:16:59,37.2698,-81.2223,70.79,88,40,8.05
199,Visim,RU,2022-08-02 05:17:00,57.6488,59.5014,62.4,61,100,7.25
200,Temirtau,KZ,2022-08-02 05:17:00,50.0544,72.9483,74.55,52,57,10.02
201,Rawson,AR,2022-08-02 05:17:01,-43.3002,-65.1023,42.19,58,15,8.5
202,Blagoyevo,RU,2022-08-02 05:17:01,63.3667,47.9167,66.34,55,4,3.94
203,Ipu,BR,2022-08-02 05:14:00,-4.3222,-40.7108,70.84,58,10,1.05
204,Makat,KZ,2022-08-02 05:17:02,47.6469,53.3463,84.97,33,1,12.59
205,Itanhaem,BR,2022-08-02 05:17:03,-24.1831,-46.7889,62.92,88,11,2.26
206,Masunga,BW,2022-08-02 05:17:03,-20.6246,27.4488,52.45,78,5,15.99
207,Wawa,NG,2022-08-02 05:17:04,9.9022,4.4192,70.29,90,97,5.23
208,Burriana,ES,2022-08-02 05:17:04,39.889,-0.085,78.69,72,0,1.68
209,Sao Joao Da Barra,BR,2022-08-02 05:17:05,-21.6403,-41.0511,70.25,90,16,13.15
210,La Ronge,CA,2022-08-02 05:17:05,55.1001,-105.2842,66.45,55,100,5.75
211,Kalabo,ZM,2022-08-02 05:17:06,-14.97,22.6814,57.97,40,1,10.51
212,Cockburn Town,TC,2022-08-02 05:17:06,21.4612,-71.1419,82.72,74,25,9.33
213,Quesnel,CA,2022-08-02 05:15:21,52.9999,-122.5029,70.3,43,20,8.05
214,Carballo,ES,2022-08-02 05:17:07,43.213,-8.691,67.01,98,24,2.17
215,Mufumbwe,ZM,2022-08-02 05:17:07,-13.6833,24.8,54.72,59,2,7.94
216,Lorengau,PG,2022-08-02 05:17:08,-2.0226,147.2712,83.19,77,46,11.12
217,Haines Junction,CA,2022-08-02 05:17:08,60.7522,-137.5108,57.15,62,100,5.75
218,Bathsheba,BB,2022-08-02 05:17:09,13.2167,-59.5167,81.21,90,20,18.41
219,Castanos,MX,2022-08-02 05:17:09,26.7833,-101.4167,87.35,39,46,10.0
220,Palmer,US,2022-08-02 05:12:54,42.1584,-72.3287,69.51,87,100,5.75
221,Okhotsk,RU,2022-08-02 05:17:10,59.3833,143.3,62.67,77,78,4.47
222,Saldanha,ZA,2022-08-02 05:17:11,-33.0117,17.9442,48.25,70,7,11.88
223,Hit,IQ,2022-08-02 05:18:11,33.6416,42.8251,99.82,17,0,1.3
224,Sola,VU,2022-08-02 05:18:12,-13.8833,167.55,80.69,78,13,17.63
225,Harnosand,SE,2022-08-02 05:18:12,62.6323,17.9379,53.01,79,81,13.73
226,Chernaya Kholunitsa,RU,2022-08-02 05:18:12,58.8511,51.7154,66.29,77,30,3.65
227,Black River,JM,2022-08-02 05:18:13,18.0264,-77.8487,79.09,88,20,4.0
228,Erechim,BR,2022-08-02 05:18:13,-27.6342,-52.2739,52.63,91,14,2.55
229,Georgiyevka,KZ,2022-08-02 05:18:14,43.0369,74.7114,84.24,34,0,6.71
230,Marystown,CA,2022-08-02 05:18:14,47.1666,-55.1483,63.86,100,100,3.42
231,Viedma,AR,2022-08-02 05:18:15,-40.8135,-62.9967,43.88,87,48,4.9
232,Qianguo,CN,2022-08-02 05:18:15,45.1171,124.8568,91.87,49,68,5.91
233,Shobu,JP,2022-08-02 05:18:16,36.0667,139.6,102.9,30,73,1.66
234,Yerofey Pavlovich,RU,2022-08-02 05:18:16,53.9667,121.9667,77.7,52,93,5.73
235,Nanortalik,GL,2022-08-02 05:18:17,60.1432,-45.2371,45.32,76,100,10.74
236,Severo-Kurilsk,RU,2022-08-02 05:18:17,50.6789,156.125,56.23,80,24,5.3
237,Sioux Lookout,CA,2022-08-02 05:18:17,50.1001,-91.917,57.27,100,40,0.0
238,Port Hardy,CA,2022-08-02 05:18:18,50.6996,-127.4199,57.38,82,20,8.05
239,Otradnoye,RU,2022-08-02 05:18:18,59.7775,30.8181,67.03,96,100,8.9
240,Polunochnoye,RU,2022-08-02 05:18:19,60.8697,60.4153,67.21,45,12,2.75
241,Luoyang,CN,2022-08-02 05:18:19,34.6836,112.4536,94.84,42,4,6.78
242,Ponca City,US,2022-08-02 05:18:19,36.707,-97.0856,84.16,64,0,10.36
243,Temir,KZ,2022-08-02 05:18:20,49.1414,57.13,75.85,47,65,8.34
244,Tessalit,ML,2022-08-02 05:18:20,20.1986,1.0114,87.39,42,7,21.07
245,Taltal,CL,2022-08-02 05:18:21,-25.4,-70.4833,55.45,83,8,0.49
246,Torit,SS,2022-08-02 05:18:21,4.4133,32.5678,67.46,96,100,1.74
247,Guerrero Negro,MX,2022-08-02 05:18:22,27.9769,-114.0611,72.54,75,0,13.56
248,Custodia,BR,2022-08-02 05:18:22,-8.0875,-37.6431,59.54,96,3,4.9
249,Calvinia,ZA,2022-08-02 05:18:23,-31.4707,19.776,51.87,67,99,8.32
250,Anadyr,RU,2022-08-02 05:18:23,64.75,177.4833,66.7,45,0,6.71
251,Kloulklubed,PW,2022-08-02 05:18:23,7.0419,134.2556,82.9,76,96,10.63
252,Port Hedland,AU,2022-08-02 05:18:24,-20.3167,118.5667,75.25,88,100,12.66
253,Venado Tuerto,AR,2022-08-02 05:18:24,-33.7456,-61.9688,50.77,74,100,7.07
254,Mondragone,IT,2022-08-02 05:18:25,41.1141,13.8935,82.0,42,0,6.96
255,Sisimiut,GL,2022-08-02 05:18:25,66.9395,-53.6735,47.64,75,98,1.68
256,Jiangyou,CN,2022-08-02 05:18:26,31.7667,104.7167,84.52,67,58,5.75
257,Lompoc,US,2022-08-02 05:18:26,34.6391,-120.4579,73.54,92,0,3.44
258,Bethel,US,2022-08-02 05:18:26,41.3712,-73.414,70.11,95,0,0.0
259,Tambura,SS,2022-08-02 05:18:27,5.6,27.4667,66.54,94,100,3.18
260,Ukiah,US,2022-08-02 05:18:27,39.1502,-123.2078,74.64,74,0,0.0
261,Vila,PT,2022-08-02 05:18:28,42.0304,-8.1588,59.88,57,0,4.03
262,Povenets,RU,2022-08-02 05:18:28,62.8487,34.8262,57.38,96,100,14.14
263,Coos Bay,US,2022-08-02 05:15:50,43.3665,-124.2179,61.32,100,100,3.44
264,Muncar,ID,2022-08-02 05:18:29,-8.4333,114.3333,83.66,71,74,8.95
265,Sept-Iles,CA,2022-08-02 05:16:09,50.2001,-66.3821,63.12,92,75,5.75
266,Hami,CN,2022-08-02 05:18:29,42.8,93.45,95.88,19,73,11.88
267,Pacific Grove,US,2022-08-02 05:16:32,36.6177,-121.9166,69.21,84,0,3.44
268,Soe,ID,2022-08-02 05:18:30,-9.8607,124.284,81.72,40,100,7.78
269,Kaeo,NZ,2022-08-02 05:14:20,-35.1,173.7833,58.32,79,85,6.49
270,Seydi,TM,2022-08-02 05:19:31,39.4816,62.9137,90.37,18,19,13.6
271,Evensk,RU,2022-08-02 05:19:31,61.95,159.2333,53.44,92,99,10.04
272,Freeport,US,2022-08-02 05:16:42,40.6576,-73.5832,73.02,84,0,10.36
273,Muros,ES,2022-08-02 05:19:32,42.7762,-9.0603,68.09,81,0,6.4
274,Umm Lajj,SA,2022-08-02 05:19:32,25.0213,37.2685,87.46,49,59,5.39
275,Tarakan,ID,2022-08-02 05:19:33,3.3,117.6333,87.3,70,40,6.91
276,Beloha,MG,2022-08-02 05:19:33,-25.1667,45.05,66.0,59,81,11.68
277,Porto Walter,BR,2022-08-02 05:19:34,-8.2686,-72.7439,72.88,94,92,1.81
278,Waingapu,ID,2022-08-02 05:19:34,-9.6567,120.2641,85.17,62,93,15.08
279,Carnarvon,AU,2022-08-02 05:19:35,-24.8667,113.6333,67.57,52,92,16.06
280,Padang,ID,2022-08-02 05:19:35,-0.9492,100.3543,83.86,68,100,4.05
281,Atherton,GB,2022-08-02 05:19:35,53.5237,-2.4935,67.21,97,100,1.99
282,Deputatskiy,RU,2022-08-02 05:19:36,69.3,139.9,47.75,95,100,3.13
283,Lavrentiya,RU,2022-08-02 05:19:36,65.5833,-171.0,50.81,73,48,5.59
